Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Amfibieën;Bufo calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Amfibieën;Lissotriton helveticus;Vinpootsalamander;Vaatplanten;Lissotriton helveticus;NULL;Vinpootsalamander;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Amfibieën;Salamandra salamandra;Vuursalamander;Amfibieën;Salamandra salamandra;NULL;Vuursalamander;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Amfibieën;Triturus cristatus;Kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Alauda arvensis;Veldleeuwerik;Vogels;Alauda arvensis;NULL;Veldleeuwerik;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Alcedo atthis;Ijsvogel;Vogels;Alcedo atthis;NULL;Ijsvogel;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Apus apus;Gierzwaluw;Vogels;Apus apus;NULL;Gierzwaluw;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Athene noctua;Steenuil;Vogels;Athene noctua;NULL;Steenuil;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Caprimulgus europaeus;Nachtzwaluw;Vogels;Caprimulgus europaeus;NULL;Nachtzwaluw;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Charadrius alexandrinus;Strandplevier;Vogels;Charadrius alexandrinus;NULL;Strandplevier;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Circus aeruginosus;Bruine kiekendief;Vogels;Circus aeruginosus;NULL;Bruine kiekendief;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Delichon urbica;Huiszwaluw;Vogels;Delichon urbicum;NULL;Huiszwaluw;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Emberiza calandra;Grauwe gors;Vogels;Emberiza calandra;NULL;Grauwe gors;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Emberiza citrinella;Geelgors;Vogels;Emberiza citrinella;NULL;Geelgors;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Hirundo rustica;Boerenzwaluw;Vogels;Hirundo rustica;NULL;Boerenzwaluw;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Larus melanocephalus;Zwartkopmeeuw;Vogels;Ichthyaetus melanocephalus;NULL;Zwartkopmeeuw;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Larus ridibundus;Kokmeeuw;Vogels;Chroicocephalus ridibundus;NULL;Kokmeeuw;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Lullula arborea;Boomleeuwerik;Vogels;Lullula arborea;NULL;Boomleeuwerik;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Luscinia svecica;Blauwborst;Vogels;Luscinia svecica;NULL;Blauwborst;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Motacilla cinerea;Grote gele kwikstaart;Vogels;Motacilla cinerea;NULL;Grote gele kwikstaart;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Passer domesticus;Huismus;Vogels;Passer domesticus;NULL;Huismus;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Platalea leucorodia;Lepelaar;Vogels;Platalea leucorodia;NULL;Lepelaar;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Podiceps nigricollis;Geoorde fuut;Vogels;Podiceps nigricollis;NULL;Geoorde fuut;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Porzana porzana;Porseleinhoen;Vogels;Porzana porzana;NULL;Porseleinhoen;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Recurvirostra avosetta;Kluut;Vogels;Recurvirostra avosetta;NULL;Kluut;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Sterna hirundo;Visdief;Vogels;Sterna hirundo;NULL;Visdief;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Tringa totanus;Tureluur;Vogels;Tringa totanus;NULL;Tureluur;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Broedvogels;Turdus pilaris;Kramsvogel;Vogels;Turdus pilaris;NULL;Kramsvogel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Anthocharis cardamines;Oranjetipje;Dagvlinders;Anthocharis cardamines;NULL;Oranjetipje;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Apatura iris;Grote weerschijnvlinder;Dagvlinders;Apatura iris;NULL;Grote weerschijnvlinder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Argynnis paphia;Keizersmantel;Dagvlinders;Argynnis paphia;NULL;Keizersmantel;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Callophrys rubi;Groentje;Dagvlinders;Callophrys rubi;NULL;Groentje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Lasiommata megera;Argusvlinder;Dagvlinders;Lasiommata megera;NULL;Argusvlinder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Limenitis camilla;Kleine ijsvogelvlinder;Dagvlinders;Limenitis camilla;NULL;Kleine ijsvogelvlinder;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Nymphalis antiopa;Rouwmantel;Dagvlinders;Nymphalis antiopa;NULL;Rouwmantel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Pyrgus malvae;Aardbeivlinder;Dagvlinders;Pyrgus malvae;NULL;Aardbeivlinder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Thecla betulae;Sleedoornpage;Dagvlinders;Thecla betulae;NULL;Sleedoornpage;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Dagvlinders;Thymelicus sylvestris;Geelsprietdikkopje;Dagvlinders;Thymelicus sylvestris;NULL;Geelsprietdikkopje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Aeshna isoceles;Vroege glazenmaker;Libellen;Aeshna isoceles;NULL;Vroege glazenmaker;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Calopteryx virgo;Bosbeekjuffer;Libellen;Calopteryx virgo;NULL;Bosbeekjuffer;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Coenagrion pulchellum;Variabele waterjuffer;Libellen;Coenagrion pulchellum;NULL;Variabele waterjuffer;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Cordulegaster boltonii;Gewone bronlibel;Libellen;Cordulegaster boltonii;NULL;Gewone bronlibel;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Libellen;Leucorrhinia pectoralis;NULL;Gevlekte witsnuitlibel;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Libellula fulva;Bruine korenbout;Libellen;Libellula fulva;NULL;Bruine korenbout;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Libellen;Somatochlora flavomaculata;Gevlekte glanslibel;Libellen;Somatochlora flavomaculata;NULL;Gevlekte glanslibel;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - Oost-Vlaanderen;2013;0;Lieveheersbeestjes;Adalia bipunctata;Tweestippelig lieveheersbeestje;Lieveheersbeestjes;Adalia bipunctata;NULL;Tweestippelig lieveheersbeestje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
